tech,name,carrier,is_storage
BLCP-T,BLCP-T,coal,FALSE
BPK-C1,BPK-C1,gas,FALSE
BPK-C5,BPK-C5,gas,FALSE
BPK-T,BPK-T,gas,FALSE
CHN-C1,CHN-C1,gas,FALSE
CHN-C2,CHN-C2,gas,FALSE
EPEC-C,EPEC-C,gas,FALSE
GLOW-C,GLOW-C,gas,FALSE
GNS-C,GNS-C,gas,FALSE
GOC-T,GOC-T,coal,FALSE
GPD-C1,GPD-C1,gas,FALSE
GPD-C2,GPD-C2,gas,FALSE
GPG-C,GPG-C,gas,FALSE
GPS-C,GPS-C,gas,FALSE
GSRC-C,GSRC-C,gas,FALSE
GSRC-C1,GSRC-C1,gas,FALSE
GSRC-C2,GSRC-C2,gas,FALSE
GSRC-C3,GSRC-C3,gas,FALSE
GSRC-C4,GSRC-C4,gas,FALSE
GUT-C,GUT-C,gas,FALSE
KA-T,KA-T,fuel_oil,FALSE
KN-C2,KN-C2,gas,FALSE
KPG-C,KPG-C,gas,FALSE
MM-T14,MM-T14,coal,FALSE
MM-T8-13,MM-T8-13,coal,FALSE
NB-C1,NB-C1,gas,FALSE
NB-C2,NB-C2,gas,FALSE
NPO-C,NPO-C,gas,FALSE
RB-C,RB-C,gas,FALSE
RB-T,RB-T,gas,FALSE
RPCL-C,RPCL-C,gas,FALSE
SB-C3,SB-C3,gas,FALSE
SB-C4,SB-C4,gas,FALSE
WN-C3,WN-C3,gas,FALSE
WN-C4,WN-C4,gas,FALSE
GlowE,GlowE,gas,FALSE
GlowE1,GlowE1,gas,FALSE
PTTGC,PTTGC,gas,FALSE
B.GrimmP,B.GrimmP,gas,FALSE
AmataBP1,AmataBP1,gas,FALSE
B.GrimmP1,B.GrimmP1,gas,FALSE
BangkokC,BangkokC,gas,FALSE
NationalPS,NationalPS,coal,FALSE
GlowS2,GlowS2,gas,FALSE
Sahacogen,Sahacogen,gas,FALSE
GlowS21,GlowS21,gas,FALSE
RojanaP,RojanaP,gas,FALSE
NationalPS1,NationalPS1,coal,FALSE
GlowS3,GlowS3,coal,FALSE
GlowS31,GlowS31,coal,FALSE
GlowS1,GlowS1,gas,FALSE
B.GrimmP11,B.GrimmP11,gas,FALSE
AmataBP2,AmataBP2,gas,FALSE
EGCOC,EGCOC,gas,FALSE
SiamPG,SiamPG,gas,FALSE
GlowE2,GlowE2,gas,FALSE
AmataBP3,AmataBP3,gas,FALSE
GlowS11,GlowS11,gas,FALSE
GulfJK1,GulfJK1,gas,FALSE
GulfJK2,GulfJK2,gas,FALSE
GulfJT,GulfJT,gas,FALSE
GulfJN,GulfJN,gas,FALSE
GulfJN1,GulfJN1,gas,FALSE
AmataBP21,AmataBP21,gas,FALSE
BangPC,BangPC,gas,FALSE
GulfJC,GulfJC,gas,FALSE
GulfJN2,GulfJN2,gas,FALSE
RojanaP1,RojanaP1,gas,FALSE
RATCHC,RATCHC,gas,FALSE
AmataBP11,AmataBP11,gas,FALSE
RatchaburiWC,RatchaburiWC,gas,FALSE
RatchaburiWC1,RatchaburiWC1,gas,FALSE
B.GrimmBP1,B.GrimmBP1,gas,FALSE
AmataBP4,AmataBP4,gas,FALSE
B.GrimmBP2,B.GrimmBP2,gas,FALSE
PPTC,PPTC,gas,FALSE
TopS,TopS,gas,FALSE
B.GrimmP12,B.GrimmP12,gas,FALSE
TopS1,TopS1,gas,FALSE
NavanakornEG,NavanakornEG,gas,FALSE
AmataBP5,AmataBP5,gas,FALSE
B.GrimmP13,B.GrimmP13,gas,FALSE
SSUT,SSUT,gas,FALSE
SSUT1,SSUT1,gas,FALSE
AdvanceAA,AdvanceAA,gas,FALSE
GulfV,GulfV,gas,FALSE
RojanaP2,RojanaP2,gas,FALSE
BangPC1,BangPC1,gas,FALSE
GulfT,GulfT,gas,FALSE
KlongLU,KlongLU,gas,FALSE
GulfT1,GulfT1,gas,FALSE
BanPU,BanPU,gas,FALSE
BanPU1,BanPU1,gas,FALSE
GulfT2,GulfT2,gas,FALSE
IRPCCP,IRPCCP,gas,FALSE
IRPCCP1,IRPCCP1,gas,FALSE
GulfT3,GulfT3,gas,FALSE
GulfN,GulfN,gas,FALSE
AmataBP31,AmataBP31,gas,FALSE
AmataBP41,AmataBP41,gas,FALSE
AmataBP51,AmataBP51,gas,FALSE
GulfB,GulfB,gas,FALSE
GulfB1,GulfB1,gas,FALSE
GulfN2,GulfN2,gas,FALSE
GulfN1,GulfN1,gas,FALSE
GulfN3,GulfN3,gas,FALSE
BerkpraiC,BerkpraiC,gas,FALSE
GulfN4,GulfN4,gas,FALSE
NextsifRER,NextsifRER,gas,FALSE
NationalPP3,NationalPP3,biomass,FALSE
BMPE,BMPE,biomass,FALSE
RoiEG,RoiEG,biomass,FALSE
NationalPP5,NationalPP5,biomass,FALSE
NationalPP51,NationalPP51,biomass,FALSE
MitrPB,MitrPB,biomass,FALSE
MitrPBP,MitrPBP,biomass,FALSE
A.T.B,A.T.B,biomass,FALSE
GulfYG,GulfYG,biomass,FALSE
KhonKSPP,KhonKSPP,biomass,FALSE
MungCGP,MungCGP,biomass,FALSE
SuratTGE,SuratTGE,biomass,FALSE
MitrPB1,MitrPB1,biomass,FALSE
MitrPBP1,MitrPBP1,biomass,FALSE
MungCB,MungCB,biomass,FALSE
KhonburiEG,KhonburiEG,biomass,FALSE
BuayaiBP,BuayaiBP,biomass,FALSE
UthongGP,UthongGP,biomass,FALSE
MitrPB2,MitrPB2,biomass,FALSE
MitrPB11,MitrPB11,biomass,FALSE
ThippichitHE,ThippichitHE,biomass,FALSE
AbsoluteCEAS,AbsoluteCEAS,biomass,FALSE
SurinE,SurinE,biomass,FALSE
KoratI,KoratI,biomass,FALSE
ThipsukhothaiHE,ThipsukhothaiHE,biomass,FALSE
IRPC,IRPC,gas,FALSE
PanchaponPI,PanchaponPI,coal,FALSE
ElectricityACWP,ElectricityACWP,gas,FALSE
GlobalPS,GlobalPS,gas,FALSE
GlobalPS1,GlobalPS1,gas,FALSE
PTTGC1,PTTGC1,gas,FALSE
RayongS,RayongS,biomass,FALSE
GGCCB,GGCCB,biomass,FALSE
MitrPB21,MitrPB21,biomass,FALSE
ChaimongkolRS,ChaimongkolRS,biomass,FALSE
SaraburiS,SaraburiS,biomass,FALSE
ThaiRRI,ThaiRRI,biomass,FALSE
AngwianI,AngwianI,biomass,FALSE
BirlaC,BirlaC,biogas,FALSE
UACE,UACE,gas,FALSE
KhonKSPP1,KhonKSPP1,biomass,FALSE
MitrPB3,MitrPB3,biomass,FALSE
MitrPB4,MitrPB4,biomass,FALSE
KasetTB,KasetTB,biomass,FALSE
ESE,ESE,biomass,FALSE
UthaiTBE,UthaiTBE,biomass,FALSE
TPIPP,TPIPP,solid_waste,FALSE
RuamkalamP,RuamkalamP,biomass,FALSE
TPIPP1,TPIPP1,solid_waste,FALSE
ThaiEP,ThaiEP,biomass,FALSE
RuamphonB,RuamphonB,biomass,FALSE
ESE1,ESE1,biomass,FALSE
TPIPP2,TPIPP2,solid_waste,FALSE
MitrPB5,MitrPB5,biomass,FALSE
RuamphonB1,RuamphonB1,biomass,FALSE
GulfCG,GulfCG,biomass,FALSE
PattaniG,PattaniG,biomass,FALSE
B.GrimAT2,B.GrimAT2,gas,FALSE
B.GrimAT3,B.GrimAT3,gas,FALSE
SuperSE,SuperSE,solar,FALSE
NaturalED,NaturalED,solar,FALSE
BCPG,BCPG,solar,FALSE
EASNS,EASNS,solar,FALSE
Sermsangpalang,Sermsangpalang,solar,FALSE
EASL,EASL,solar,FALSE
SPPS,SPPS,solar,FALSE
EASP,EASP,solar,FALSE
FirstKW,FirstKW,wind,FALSE
K.R.Two,K.R.Two,wind,FALSE
KhaoKWP,KhaoKWP,wind,FALSE
ChaiyaphumWF,ChaiyaphumWF,wind,FALSE
WatabaekW,WatabaekW,wind,FALSE
Pattanawind,Pattanawind,wind,FALSE
EAWH3,EAWH3,wind,FALSE
EAWH31,EAWH31,wind,FALSE
EAWH32,EAWH32,wind,FALSE
GreenovationP,GreenovationP,wind,FALSE
KoratWE,KoratWE,wind,FALSE
K.R.S.T,K.R.S.T,wind,FALSE
TropicalW,TropicalW,wind,FALSE
TheparakW,TheparakW,wind,FALSE
KritsanaWP,KritsanaWP,wind,FALSE
NayangklakD,NayangklakD,wind,FALSE
NayangklakWP,NayangklakWP,wind,FALSE
K.R.One,K.R.One,wind,FALSE
PongnokD,PongnokD,wind,FALSE
BencharatP,BencharatP,wind,FALSE
Winchai,Winchai,wind,FALSE
BanCD,BanCD,wind,FALSE
h16,h16,hydro,FALSE
h13,h13,hydro,FALSE
h9,h9,hydro,FALSE
h11,h11,hydro,FALSE
h17,h17,hydro,FALSE
h14,h14,hydro,FALSE
h6,h6,hydro,FALSE
h4,h4,hydro,FALSE
h2,h2,hydro,FALSE
h10,h10,hydro,FALSE
h5,h5,hydro,FALSE
h1,h1,hydro,FALSE
h3,h3,hydro,FALSE
h7,h7,hydro,FALSE
NTN2,NTN2,import,FALSE
XYB,XYB,import,FALSE
XPXN,XPXN,import,FALSE
THB,THB,import,FALSE
NNP1,NNP1,import,FALSE
NNG2,NNG2,import,FALSE
HHO,HHO,import,FALSE
import_Hongsa,import_Hongsa,import,FALSE
import_ThaKhaek,import_ThaKhaek,import,FALSE
import_ThaNaLaeng,import_ThaNaLaeng,import,FALSE
import_PakLay,import_PakLay,import,FALSE
import_PakBo,import_PakBo,import,FALSE
import_Paksan,import_Paksan,import,FALSE
import_PhonThong,import_PhonThong,import,FALSE