tech,year,month,unit,value
Grand_Coulee,1,1,m3,5990000000.0
Grand_Coulee,1,2,m3,5990000000.0
Grand_Coulee,1,3,m3,5990000000.0
Grand_Coulee,1,4,m3,5990000000.0
Grand_Coulee,1,5,m3,5990000000.0
Grand_Coulee,1,6,m3,5990000000.0
Grand_Coulee,1,7,m3,5990000000.0
Grand_Coulee,1,8,m3,5990000000.0
Grand_Coulee,1,9,m3,5990000000.0
Grand_Coulee,1,10,m3,5990000000.0
Grand_Coulee,1,11,m3,5990000000.0
Grand_Coulee,1,12,m3,5990000000.0
Grand_Coulee,1,13,m3,5990000000.0
Grand_Coulee,1,14,m3,5990000000.0
Grand_Coulee,1,15,m3,5990000000.0
Grand_Coulee,1,16,m3,5990000000.0
Grand_Coulee,1,17,m3,5990000000.0
Grand_Coulee,1,18,m3,5990000000.0
Grand_Coulee,1,19,m3,5990000000.0
Grand_Coulee,1,20,m3,5990000000.0
Grand_Coulee,1,21,m3,5990000000.0
Grand_Coulee,1,22,m3,5990000000.0
Grand_Coulee,1,23,m3,5990000000.0
Grand_Coulee,1,24,m3,5990000000.0
Grand_Coulee,1,25,m3,5990000000.0
Grand_Coulee,1,26,m3,5990000000.0
Grand_Coulee,1,27,m3,5990000000.0
Grand_Coulee,1,28,m3,5990000000.0
Grand_Coulee,1,29,m3,5990000000.0
Grand_Coulee,1,30,m3,5990000000.0
Grand_Coulee,1,31,m3,5990000000.0
Grand_Coulee,1,32,m3,5990000000.0
Grand_Coulee,1,33,m3,5990000000.0
Grand_Coulee,1,34,m3,5990000000.0
Grand_Coulee,1,35,m3,5990000000.0
Grand_Coulee,1,36,m3,5990000000.0
Grand_Coulee,1,37,m3,5990000000.0
Grand_Coulee,1,38,m3,5990000000.0
Grand_Coulee,1,39,m3,5990000000.0
Grand_Coulee,1,40,m3,5990000000.0
Grand_Coulee,1,41,m3,5990000000.0
Grand_Coulee,1,42,m3,5990000000.0
Grand_Coulee,1,43,m3,5990000000.0
Grand_Coulee,1,44,m3,5990000000.0
Grand_Coulee,1,45,m3,5990000000.0
Grand_Coulee,1,46,m3,5990000000.0
Grand_Coulee,1,47,m3,5990000000.0
Grand_Coulee,1,48,m3,5990000000.0
Chief_Joseph,1,1,m3,686000000.0
Chief_Joseph,1,2,m3,686000000.0
Chief_Joseph,1,3,m3,686000000.0
Chief_Joseph,1,4,m3,686000000.0
Chief_Joseph,1,5,m3,686000000.0
Chief_Joseph,1,6,m3,686000000.0
Chief_Joseph,1,7,m3,686000000.0
Chief_Joseph,1,8,m3,686000000.0
Chief_Joseph,1,9,m3,686000000.0
Chief_Joseph,1,10,m3,686000000.0
Chief_Joseph,1,11,m3,686000000.0
Chief_Joseph,1,12,m3,686000000.0
Chief_Joseph,1,13,m3,686000000.0
Chief_Joseph,1,14,m3,686000000.0
Chief_Joseph,1,15,m3,686000000.0
Chief_Joseph,1,16,m3,686000000.0
Chief_Joseph,1,17,m3,686000000.0
Chief_Joseph,1,18,m3,686000000.0
Chief_Joseph,1,19,m3,686000000.0
Chief_Joseph,1,20,m3,686000000.0
Chief_Joseph,1,21,m3,686000000.0
Chief_Joseph,1,22,m3,686000000.0
Chief_Joseph,1,23,m3,686000000.0
Chief_Joseph,1,24,m3,686000000.0
Chief_Joseph,1,25,m3,686000000.0
Chief_Joseph,1,26,m3,686000000.0
Chief_Joseph,1,27,m3,686000000.0
Chief_Joseph,1,28,m3,686000000.0
Chief_Joseph,1,29,m3,686000000.0
Chief_Joseph,1,30,m3,686000000.0
Chief_Joseph,1,31,m3,686000000.0
Chief_Joseph,1,32,m3,686000000.0
Chief_Joseph,1,33,m3,686000000.0
Chief_Joseph,1,34,m3,686000000.0
Chief_Joseph,1,35,m3,686000000.0
Chief_Joseph,1,36,m3,686000000.0
Chief_Joseph,1,37,m3,686000000.0
Chief_Joseph,1,38,m3,686000000.0
Chief_Joseph,1,39,m3,686000000.0
Chief_Joseph,1,40,m3,686000000.0
Chief_Joseph,1,41,m3,686000000.0
Chief_Joseph,1,42,m3,686000000.0
Chief_Joseph,1,43,m3,686000000.0
Chief_Joseph,1,44,m3,686000000.0
Chief_Joseph,1,45,m3,686000000.0
Chief_Joseph,1,46,m3,686000000.0
Chief_Joseph,1,47,m3,686000000.0
Chief_Joseph,1,48,m3,686000000.0
Wells,1,1,m3,39000000.0
Wells,1,2,m3,39000000.0
Wells,1,3,m3,39000000.0
Wells,1,4,m3,39000000.0
Wells,1,5,m3,39000000.0
Wells,1,6,m3,39000000.0
Wells,1,7,m3,39000000.0
Wells,1,8,m3,39000000.0
Wells,1,9,m3,39000000.0
Wells,1,10,m3,39000000.0
Wells,1,11,m3,39000000.0
Wells,1,12,m3,39000000.0
Wells,1,13,m3,39000000.0
Wells,1,14,m3,39000000.0
Wells,1,15,m3,39000000.0
Wells,1,16,m3,39000000.0
Wells,1,17,m3,39000000.0
Wells,1,18,m3,39000000.0
Wells,1,19,m3,39000000.0
Wells,1,20,m3,39000000.0
Wells,1,21,m3,39000000.0
Wells,1,22,m3,39000000.0
Wells,1,23,m3,39000000.0
Wells,1,24,m3,39000000.0
Wells,1,25,m3,39000000.0
Wells,1,26,m3,39000000.0
Wells,1,27,m3,39000000.0
Wells,1,28,m3,39000000.0
Wells,1,29,m3,39000000.0
Wells,1,30,m3,39000000.0
Wells,1,31,m3,39000000.0
Wells,1,32,m3,39000000.0
Wells,1,33,m3,39000000.0
Wells,1,34,m3,39000000.0
Wells,1,35,m3,39000000.0
Wells,1,36,m3,39000000.0
Wells,1,37,m3,39000000.0
Wells,1,38,m3,39000000.0
Wells,1,39,m3,39000000.0
Wells,1,40,m3,39000000.0
Wells,1,41,m3,39000000.0
Wells,1,42,m3,39000000.0
Wells,1,43,m3,39000000.0
Wells,1,44,m3,39000000.0
Wells,1,45,m3,39000000.0
Wells,1,46,m3,39000000.0
Wells,1,47,m3,39000000.0
Wells,1,48,m3,39000000.0
Rocky_Reach,1,1,m3,14000000.000000002
Rocky_Reach,1,2,m3,14000000.000000002
Rocky_Reach,1,3,m3,14000000.000000002
Rocky_Reach,1,4,m3,14000000.000000002
Rocky_Reach,1,5,m3,14000000.000000002
Rocky_Reach,1,6,m3,14000000.000000002
Rocky_Reach,1,7,m3,14000000.000000002
Rocky_Reach,1,8,m3,14000000.000000002
Rocky_Reach,1,9,m3,14000000.000000002
Rocky_Reach,1,10,m3,14000000.000000002
Rocky_Reach,1,11,m3,14000000.000000002
Rocky_Reach,1,12,m3,14000000.000000002
Rocky_Reach,1,13,m3,14000000.000000002
Rocky_Reach,1,14,m3,14000000.000000002
Rocky_Reach,1,15,m3,14000000.000000002
Rocky_Reach,1,16,m3,14000000.000000002
Rocky_Reach,1,17,m3,14000000.000000002
Rocky_Reach,1,18,m3,14000000.000000002
Rocky_Reach,1,19,m3,14000000.000000002
Rocky_Reach,1,20,m3,14000000.000000002
Rocky_Reach,1,21,m3,14000000.000000002
Rocky_Reach,1,22,m3,14000000.000000002
Rocky_Reach,1,23,m3,14000000.000000002
Rocky_Reach,1,24,m3,14000000.000000002
Rocky_Reach,1,25,m3,14000000.000000002
Rocky_Reach,1,26,m3,14000000.000000002
Rocky_Reach,1,27,m3,14000000.000000002
Rocky_Reach,1,28,m3,14000000.000000002
Rocky_Reach,1,29,m3,14000000.000000002
Rocky_Reach,1,30,m3,14000000.000000002
Rocky_Reach,1,31,m3,14000000.000000002
Rocky_Reach,1,32,m3,14000000.000000002
Rocky_Reach,1,33,m3,14000000.000000002
Rocky_Reach,1,34,m3,14000000.000000002
Rocky_Reach,1,35,m3,14000000.000000002
Rocky_Reach,1,36,m3,14000000.000000002
Rocky_Reach,1,37,m3,14000000.000000002
Rocky_Reach,1,38,m3,14000000.000000002
Rocky_Reach,1,39,m3,14000000.000000002
Rocky_Reach,1,40,m3,14000000.000000002
Rocky_Reach,1,41,m3,14000000.000000002
Rocky_Reach,1,42,m3,14000000.000000002
Rocky_Reach,1,43,m3,14000000.000000002
Rocky_Reach,1,44,m3,14000000.000000002
Rocky_Reach,1,45,m3,14000000.000000002
Rocky_Reach,1,46,m3,14000000.000000002
Rocky_Reach,1,47,m3,14000000.000000002
Rocky_Reach,1,48,m3,14000000.000000002
Rock_Island,1,1,m3,3000000.0
Rock_Island,1,2,m3,3000000.0
Rock_Island,1,3,m3,3000000.0
Rock_Island,1,4,m3,3000000.0
Rock_Island,1,5,m3,3000000.0
Rock_Island,1,6,m3,3000000.0
Rock_Island,1,7,m3,3000000.0
Rock_Island,1,8,m3,3000000.0
Rock_Island,1,9,m3,3000000.0
Rock_Island,1,10,m3,3000000.0
Rock_Island,1,11,m3,3000000.0
Rock_Island,1,12,m3,3000000.0
Rock_Island,1,13,m3,3000000.0
Rock_Island,1,14,m3,3000000.0
Rock_Island,1,15,m3,3000000.0
Rock_Island,1,16,m3,3000000.0
Rock_Island,1,17,m3,3000000.0
Rock_Island,1,18,m3,3000000.0
Rock_Island,1,19,m3,3000000.0
Rock_Island,1,20,m3,3000000.0
Rock_Island,1,21,m3,3000000.0
Rock_Island,1,22,m3,3000000.0
Rock_Island,1,23,m3,3000000.0
Rock_Island,1,24,m3,3000000.0
Rock_Island,1,25,m3,3000000.0
Rock_Island,1,26,m3,3000000.0
Rock_Island,1,27,m3,3000000.0
Rock_Island,1,28,m3,3000000.0
Rock_Island,1,29,m3,3000000.0
Rock_Island,1,30,m3,3000000.0
Rock_Island,1,31,m3,3000000.0
Rock_Island,1,32,m3,3000000.0
Rock_Island,1,33,m3,3000000.0
Rock_Island,1,34,m3,3000000.0
Rock_Island,1,35,m3,3000000.0
Rock_Island,1,36,m3,3000000.0
Rock_Island,1,37,m3,3000000.0
Rock_Island,1,38,m3,3000000.0
Rock_Island,1,39,m3,3000000.0
Rock_Island,1,40,m3,3000000.0
Rock_Island,1,41,m3,3000000.0
Rock_Island,1,42,m3,3000000.0
Rock_Island,1,43,m3,3000000.0
Rock_Island,1,44,m3,3000000.0
Rock_Island,1,45,m3,3000000.0
Rock_Island,1,46,m3,3000000.0
Rock_Island,1,47,m3,3000000.0
Rock_Island,1,48,m3,3000000.0
Wanapum,1,1,m3,4000000.0
Wanapum,1,2,m3,4000000.0
Wanapum,1,3,m3,4000000.0
Wanapum,1,4,m3,4000000.0
Wanapum,1,5,m3,4000000.0
Wanapum,1,6,m3,4000000.0
Wanapum,1,7,m3,4000000.0
Wanapum,1,8,m3,4000000.0
Wanapum,1,9,m3,4000000.0
Wanapum,1,10,m3,4000000.0
Wanapum,1,11,m3,4000000.0
Wanapum,1,12,m3,4000000.0
Wanapum,1,13,m3,4000000.0
Wanapum,1,14,m3,4000000.0
Wanapum,1,15,m3,4000000.0
Wanapum,1,16,m3,4000000.0
Wanapum,1,17,m3,4000000.0
Wanapum,1,18,m3,4000000.0
Wanapum,1,19,m3,4000000.0
Wanapum,1,20,m3,4000000.0
Wanapum,1,21,m3,4000000.0
Wanapum,1,22,m3,4000000.0
Wanapum,1,23,m3,4000000.0
Wanapum,1,24,m3,4000000.0
Wanapum,1,25,m3,4000000.0
Wanapum,1,26,m3,4000000.0
Wanapum,1,27,m3,4000000.0
Wanapum,1,28,m3,4000000.0
Wanapum,1,29,m3,4000000.0
Wanapum,1,30,m3,4000000.0
Wanapum,1,31,m3,4000000.0
Wanapum,1,32,m3,4000000.0
Wanapum,1,33,m3,4000000.0
Wanapum,1,34,m3,4000000.0
Wanapum,1,35,m3,4000000.0
Wanapum,1,36,m3,4000000.0
Wanapum,1,37,m3,4000000.0
Wanapum,1,38,m3,4000000.0
Wanapum,1,39,m3,4000000.0
Wanapum,1,40,m3,4000000.0
Wanapum,1,41,m3,4000000.0
Wanapum,1,42,m3,4000000.0
Wanapum,1,43,m3,4000000.0
Wanapum,1,44,m3,4000000.0
Wanapum,1,45,m3,4000000.0
Wanapum,1,46,m3,4000000.0
Wanapum,1,47,m3,4000000.0
Wanapum,1,48,m3,4000000.0
Priest_Rapids,1,1,m3,13000000.0
Priest_Rapids,1,2,m3,13000000.0
Priest_Rapids,1,3,m3,13000000.0
Priest_Rapids,1,4,m3,13000000.0
Priest_Rapids,1,5,m3,13000000.0
Priest_Rapids,1,6,m3,13000000.0
Priest_Rapids,1,7,m3,13000000.0
Priest_Rapids,1,8,m3,13000000.0
Priest_Rapids,1,9,m3,13000000.0
Priest_Rapids,1,10,m3,13000000.0
Priest_Rapids,1,11,m3,13000000.0
Priest_Rapids,1,12,m3,13000000.0
Priest_Rapids,1,13,m3,13000000.0
Priest_Rapids,1,14,m3,13000000.0
Priest_Rapids,1,15,m3,13000000.0
Priest_Rapids,1,16,m3,13000000.0
Priest_Rapids,1,17,m3,13000000.0
Priest_Rapids,1,18,m3,13000000.0
Priest_Rapids,1,19,m3,13000000.0
Priest_Rapids,1,20,m3,13000000.0
Priest_Rapids,1,21,m3,13000000.0
Priest_Rapids,1,22,m3,13000000.0
Priest_Rapids,1,23,m3,13000000.0
Priest_Rapids,1,24,m3,13000000.0
Priest_Rapids,1,25,m3,13000000.0
Priest_Rapids,1,26,m3,13000000.0
Priest_Rapids,1,27,m3,13000000.0
Priest_Rapids,1,28,m3,13000000.0
Priest_Rapids,1,29,m3,13000000.0
Priest_Rapids,1,30,m3,13000000.0
Priest_Rapids,1,31,m3,13000000.0
Priest_Rapids,1,32,m3,13000000.0
Priest_Rapids,1,33,m3,13000000.0
Priest_Rapids,1,34,m3,13000000.0
Priest_Rapids,1,35,m3,13000000.0
Priest_Rapids,1,36,m3,13000000.0
Priest_Rapids,1,37,m3,13000000.0
Priest_Rapids,1,38,m3,13000000.0
Priest_Rapids,1,39,m3,13000000.0
Priest_Rapids,1,40,m3,13000000.0
Priest_Rapids,1,41,m3,13000000.0
Priest_Rapids,1,42,m3,13000000.0
Priest_Rapids,1,43,m3,13000000.0
Priest_Rapids,1,44,m3,13000000.0
Priest_Rapids,1,45,m3,13000000.0
Priest_Rapids,1,46,m3,13000000.0
Priest_Rapids,1,47,m3,13000000.0
Priest_Rapids,1,48,m3,13000000.0
Lower_Granite,1,1,m3,545000000.0
Lower_Granite,1,2,m3,545000000.0
Lower_Granite,1,3,m3,545000000.0
Lower_Granite,1,4,m3,545000000.0
Lower_Granite,1,5,m3,545000000.0
Lower_Granite,1,6,m3,545000000.0
Lower_Granite,1,7,m3,545000000.0
Lower_Granite,1,8,m3,545000000.0
Lower_Granite,1,9,m3,545000000.0
Lower_Granite,1,10,m3,545000000.0
Lower_Granite,1,11,m3,545000000.0
Lower_Granite,1,12,m3,545000000.0
Lower_Granite,1,13,m3,545000000.0
Lower_Granite,1,14,m3,545000000.0
Lower_Granite,1,15,m3,545000000.0
Lower_Granite,1,16,m3,545000000.0
Lower_Granite,1,17,m3,545000000.0
Lower_Granite,1,18,m3,545000000.0
Lower_Granite,1,19,m3,545000000.0
Lower_Granite,1,20,m3,545000000.0
Lower_Granite,1,21,m3,545000000.0
Lower_Granite,1,22,m3,545000000.0
Lower_Granite,1,23,m3,545000000.0
Lower_Granite,1,24,m3,545000000.0
